Repo   : tldr-pages/tldr
Período: histórico completo
Commits descargados: 23361

=== POR PRODUCTO ===
ANMCC (Avg Modified Components per Commit): 5.14

=== POR PERSONA ===
Colaborador                    ANMCC
----------------------------------------
UsmanAhmadSaeed                1.0
dorochadev                     1.0
DagiCheck24                    1.0
chitvs                         1.0
Girdhar Agrawal                1.0
xRealNeon                      1.0
harryfrzz                      1.0
Anirban-Chand                  1.0
smjagtap                       1.0
SyedAsadK                      1.0
severinil                      1.0
qubixq                         1.0
Philip9001                     1.0
mady20                         1.0
christinabrgs                  1.0
KunalSin9h                     1.0
coko7                          1.0
NamanSoni18                    1.0
julian-st                      1.0
fabioperrella                  1.0
CodeMan62                      1.0
Varnika Sinha                  1.0
ved1beta                       1.0
07CalC                         1.0
tyler-lutz                     1.0
MitAbhay                       1.0
modi-meet                      1.0
supakornn                      1.0
DevCentre                      1.0
ramwin                         1.0
almightyDavid                  1.0
jesdh                          1.0
Uriel-Acosta-Encora            1.0
grafst                         1.0
jwlodek                        1.0
samuel-breton                  1.0
circld                         1.0
Luis-EncoraDev                 1.0
mpowelltech                    1.0
alerameli-E                    1.0
HUGHNew                        1.0
basarsubasi                    1.0
zleonenc                       1.0
dandrake                       1.0
cp50                           1.0
Gamin8ing                      1.0
aburlot                        1.0
cardozQ                        1.0
nehemiagurl                    1.0
JorgeNZenun                    1.0
keithf123r                     1.0
rafikhouzam                    1.0
topfunky                       1.0
TheRealGabHas                  1.0
Cassius0924                    1.0
mallurivikas                   1.0
imsenak                        1.0
mihailstoynov                  1.0
Djb23                          1.0
Eki9                           1.0
kongwak                        1.0
h-banii                        1.0
qianbinbin                     1.0
an-alizi                       1.0
aigle-levant                   1.0
akhilennu                      1.0
0xmohit                        1.0
t-webber                       1.0
Hech                           1.0
p0358                          1.0
nbaud                          1.0
Aavtic                         1.0
jackmhny                       1.0
cleanmountain                  1.0
esteramine                     1.0
aaronhmiller                   1.0
fraluc06                       1.0
cc5u                           1.0
Z4pp3r                         1.0
ColtenOuO                      1.0
icorbrey                       1.0
gy-mate                        1.0
renehamburg                    1.0
richvincent                    1.0
surajdm123                     1.0
ItamarShalev                   1.0
branles14                      1.0
SuggonM                        1.0
mat                            1.0
valtism                        1.0
geovannewashington             1.0
