Archivos a analizar: 35766

=== POR PRODUCTO ===
CD (Comment Density): 0.0005  (ref. NASA optimo ~0.15)
  Total CLOC : 183
  Total LLOC : 337412
  Archivos   : 35766

=== POR PERSONA ===
Colaborador                           CLOC     LLOC       CD
serjepatoff                              0       11      0.0
noarchwastaken                           0       15      0.0
Maas                                     0        5      0.0
Abhiyan Dhakal                           0       15      0.0
Giovanni Paolo                           0       17      0.0
h-bunny                                  0        9      0.0
Santosh Shrestha                         0        7      0.0
Bacchus Jackson (JaX)                    0        7      0.0
Emily Freeman                            0       16      0.0
谢友添                                      0       19      0.0
Danesh Manoharan                         0       11      0.0
Başar Subaşı                             0       16      0.0
Brett Krueger                            0       13      0.0
NeuralNine                               0       16      0.0
Tanay Deshmukh                           0       17      0.0
Birb                                     0       14      0.0
kongwak                                  0       12      0.0
DrMaxNix                                 0       15      0.0
Terence Chen                             0        7      0.0
Umair Khurshid                           0       32      0.0
Anton Friberg                            0       12      0.0
Prithviraj03                             0       16      0.0
AKILAN C K                               0       11      0.0
Alfred                                   0        9      0.0
Tom Webber                               0       15      0.0
George Karras                            0       10      0.0
mrusme                                   0       37      0.0
Colin Westwater                          0       15      0.0
kabir1439                                0       12      0.0
0x61nas                                  0       23      0.0
Pineapple                                0       18      0.0
Robson Cruz                              0       36      0.0
kazoni                                   0       13      0.0
akhilennu                                0       15      0.0
Horizon Chaser                           0        4      0.0
Abhiram Mangipudi                        0       16      0.0
Esakki Sundaram                          0       18      0.0
TheRealGabHas                            0       38      0.0
Tamanec                                  0      545      0.0
elfiyka                                  0      112      0.0
Ilya Chernishev                          0       42      0.0
dmorozov001                              0       31      0.0
Alexei M                                 0       23      0.0
Alexandru Rusu                           0       54      0.0
